Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2017-12-11,414.8,416.39,410.79,411.96,10972149,4527638.53,580243.94
2017-12-12,411.87,417.74,408.3,411.72,16045109,6643269.12,579895.56
2017-12-13,412.3,415.92,409.51,411.29,9300356,3843490.56,579293.88
2017-12-14,413.24,415.9,408.64,414.37,11166240,4598789.63,583632.38
2017-12-15,418.64,419.52,412.66,413.58,24815288,10295851.01,582524.0
2017-12-18,410.07,419.38,387.91,414.14,18891163,7783599.62,583315.69
2017-12-19,415.31,416.84,413.69,416.37,9039910,3757097.22,586450.75
2017-12-20,416.35,417.02,412.35,412.86,10617581,4395253.76,581510.63
2017-12-21,413.0,415.47,409.2,410.52,9222666,3804108.03,578217.19
2017-12-22,411.29,414.77,408.88,413.87,10836098,4472795.65,582935.69
2017-12-26,415.88,422.19,412.86,418.1,11789643,4904644.61,588889.19
2017-12-27,419.54,421.56,413.24,415.38,9679049,4048926.98,585057.38
2017-12-28,416.05,420.17,413.29,415.58,15770466,6558467.58,585342.38
2017-12-29,416.62,419.23,413.02,414.17,11274559,4685185.02,583347.31
2018-01-01,414.91,414.91,408.07,409.09,9610781,3947568.9,576190.5
2018-01-02,410.55,413.49,407.58,409.71,9657769,3964649.22,577115.06
2018-01-03,415.94,416.39,410.57,411.36,13732968,5681898.5,579426.94
2018-01-04,412.86,414.5,411.76,413.83,9159106,3785310.21,582910.63
2018-01-05,414.5,416.8,413.81,415.16,7565326,3140379.39,584779.13
2018-01-08,416.44,418.64,415.27,417.54,8974162,3742538.24,588136.13
2018-01-09,417.36,424.44,415.49,423.11,14532853,6133531.65,595990.19
2018-01-10,424.04,426.02,420.66,423.74,11923176,5051241.47,596876.94
2018-01-11,423.5,423.88,420.44,421.68,7980791,3372263.68,593963.31
2018-01-12,424.04,428.44,421.9,426.73,15322389,6523589.63,601089.0
2018-01-15,427.18,431.01,425.03,426.8,11306305,4842989.57,601184.0
